file	selector	prop	value	dark_selector	dark_prop	dark_value	approver
styles/components/track/track.scss	.TrackHeader__WeaveBar	border	rgba(0, 0, 0, 0.04)	html[data-theme=dark] .TrackHeader__WeaveBar	border-color	rgba(255, 255, 255, 0.06)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackHeader__ViewBtn--active	box-shadow	rgba(0, 0, 0, 0.06)	html[data-theme=dark] .TrackHeader__ViewBtn--active	box-shadow	rgba(0, 0, 0, 0.06)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackHeader__ViewBtn--active	box-shadow	rgba(0, 0, 0, 0.03)	html[data-theme=dark] .TrackHeader__ViewBtn--active	box-shadow	rgba(0, 0, 0, 0.06)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.SourcePicker__BranchRow:hover	background	rgba(0, 0, 0, 0.03)	html[data-theme=dark] .SourcePicker__BranchRow:hover	background	rgba(255, 255, 255, 0.04)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.SourcePicker__Group	border-left	rgba(0, 0, 0, 0.08)	html[data-theme=dark] .SourcePicker__Group	border-left-color	rgba(255, 255, 255, 0.1)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.SourcePicker__GroupRow:hover	background	rgba(0, 0, 0, 0.03)	html[data-theme=dark] .SourcePicker__GroupRow:hover	background	rgba(255, 255, 255, 0.04)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackEdgeLabel__Badge--draft	box-shadow	rgba(0, 0, 0, 0.12)	html[data-theme=dark] .TrackEdgeLabel__Badge--draft	box-shadow	rgba(255, 255, 255, 0.22)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackEdgeLabel__Badge--draft	box-shadow	rgba(0, 0, 0, 0.06)	html[data-theme=dark] .TrackEdgeLabel__Badge--draft	box-shadow	rgba(0, 0, 0, 0.06)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackEdgeLabel__Badge--rel	box-shadow	rgba(0, 0, 0, 0.12)	html[data-theme=dark] .TrackEdgeLabel__Badge--rel	box-shadow	rgba(255, 255, 255, 0.22)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackEdgeLabel__Badge--rel	box-shadow	rgba(0, 0, 0, 0.06)	html[data-theme=dark] .TrackEdgeLabel__Badge--rel	box-shadow	rgba(0, 0, 0, 0.06)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackDetail__OriginLink	background	rgba(0, 0, 0, 0.03)	html[data-theme=dark] .TrackDetail__OriginLink	background	rgba(255, 255, 255, 0.04)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.SourcePicker__AddBtn:hover	background	rgba(0, 0, 0, 0.04)	html[data-theme=dark] .SourcePicker__AddBtn:hover	background	rgba(255, 255, 255, 0.05)	HyeonSeong 2026-08-20
styles/components/track/track.scss	.TrackTimeline__LaneGroupCount	background	rgba(0, 0, 0, 0.04)	html[data-theme=dark] .TrackTimeline__LaneGroupCount	background	rgba(255, 255, 255, 0.05)	HyeonSeong 2026-08-20
